NameID;Name_ZhT;IDCH;OrgSup;Institution;Type_1;Type_2;Type_2_Orig;Institution_Lev_2;Institution_Lev_3;Prov_Inst;City_Inst;Position;Level_Code;Level_New;StartPosYear;StartPosMonth;StartJob;Zi;BirthProv;BirthLoc;Gender;Age;Birthyear;Generation;Status
N05460;阮承霖;P12153;國民政府;蒙藏委員會;GOV;GOVC;GOV-C;調查室;;;;室主任;AOS;Administrative and Office Staff;;;;雨民;陝西;安康;M;51;1894;3;P
N05479;鮑軻;P12206;國民政府;蒙藏委員會;GOV;GOVC;GOV-C;;;;;委員;MM;Middle Management;;;;孟晉;河北;完縣;M;36;1909;5;P
N05496;陳樹人;P12244;國民政府;國民政府;GOV;GOVC;GOV-C;;;;;秘書長;SCS;Senior Civil Service;;;;;廣東;番禺;M;61;1884;2;P
N05496;陳樹人;P12245;中國國民黨;中央工人部海外部;GOV;GOVC;GOV-C;;;;;部長;NL;National Leadership;;;;;廣東;番禺;M;61;1884;2;P
N02311a;陳威a;P12524;國民政府;財政部;GOV;GOVC;GOV-C;;;;;公債司長;MM;Middle Management;;;;伯良;江西;黎川;M;43;1902;4;P
N02311a;陳威a;P12525;國民政府;財政部;GOV;GOVC;GOV-C;;;;;會計司長;MM;Middle Management;;;;伯良;江西;黎川;M;43;1902;4;P
N02311a;陳威a;P12526;國民政府;財政部;GOV;GOVC;GOV-C;;;;;參事;EM;Executive Management;;;;伯良;江西;黎川;M;43;1902;4;P
N02311a;陳威a;P12529;國民政府;財政部;GOV;GOVC;GOV-C;;;;;淮北運副;MM;Middle Management;;;;伯良;江西;黎川;M;43;1902;4;P
N05602;胡邁;P12565;;駐日大使館;GOV;GOVC;GOV-F;;;;;秘書;AOS;Administrative and Office Staff;;;;仲紓;江蘇;丹陽;M;38;1907;5;P
N05602;胡邁;P12566;國民政府;振濟委員會;GOV;GOVC;GOV-C;;;;;處長;MM;Middle Management;;;;仲紓;江蘇;丹陽;M;38;1907;5;P
N05606;林嘯谷;P12580;國民政府;中央救災準備金保管委員會;GOV;GOVC;GOV-C;;;;;主任秘書;SCS;Senior Civil Service;;;;;安徽;至德;M;34;1911;5;P
N05606;林嘯谷;P12581;;中央國術館;GOV;GOVC;GOV-A;;;;;秘書;AOS;Administrative and Office Staff;;;;;安徽;至德;M;34;1911;5;P
N05606;林嘯谷;P12582;國民政府;振濟委員會;GOV;GOVC;GOV-C;;;;;專員;SCS;Senior Civil Service;;;;;安徽;至德;M;34;1911;5;P
N05606;林嘯谷;P12583;國民政府;振濟委員會;GOV;GOVC;GOV-C;辦事處;;;;主任;MM;Middle Management;;;;;安徽;至德;M;34;1911;5;P
N05612;張掄元;P12601;國民政府;中央救災準備金保管委員會;GOV;GOVC;GOV-C;;;;;科長;MM;Middle Management;;;;經武;浙江;吳興;M;36;1909;5;P
N02827;沈鴻烈;P12880;國民政府;農林部;GOV;GOVC;GOV-C;;;;;部長;NL;National Leadership;;;;成章;湖北;天門;M;63;1882;2;P
N05789;張智斌;P13154;國民政府;行政院;GOV;GOVC;GOV-C;編輯室;;;;助理編輯;AOS;Administrative and Office Staff;;;;右文;安徽;合肥;M;27;1918;6;P
N05791;何家濂;P13156;國民政府;資源委員會;GOV;GOVC;GOV-C;;;;;會長;PTS;Professional and Technical Staff;;;;;福建;閩侯;M;28;1917;6;P
N05854;金寶善;P13392;北洋政府;中央防疫處;GOV;GOVC;GOV-C;;;;;處長;MM;Middle Management;;;;楚珍;浙江;紹興;M;52;1893;3;P
N05854;金寶善;P13393;國民政府;衛生部;GOV;GOVC;GOV-C;;;;;司長;MM;Middle Management;;;;楚珍;浙江;紹興;M;52;1893;3;P
N05854;金寶善;P13394;國民政府;衛生署;GOV;GOVC;GOV-C;;;;;副署長;EM;Executive Management;;;;楚珍;浙江;紹興;M;52;1893;3;P
N05935;龔樹森;P13611;中國國民黨;中央政治會議;GOV;GOVC;GOV-C;;;;;科員;AOS;Administrative and Office Staff;;;;木三;湖北;監利;M;47;1898;4;P
