NameID,Name_ZhT,Birthprov,BirthLoc,Univ_ZhT,Institution
N03694,王輔宜,江西,東鄉,東京大學,交通部第四組
N07009,白鵬飛,廣西,桂林,東京大學,監察院
N04343,石樺,江蘇,上海,東京大學,農村經濟司
N06096,羅鼎,湖南,攸縣,東京大學,立法院
N06648,范揚,浙江,金華,東京大學,法規委員會
N06648,范揚,浙江,金華,東京大學,考試院
N02276,蕭兆綱,廣東,NA,東京大學,總務司
N01982,薛溱舲,江蘇,無錫,東京大學,錢幣司
N06727,薩孟武,福建,福州,東京大學,法規委員會
N04426,藍夢九,四川,蓬安,東京大學,考核委員會考核組
N04484,谷延麻,江蘇,淮安,東京大學,海青獸疫防治大隊
N02672,郭桓,遼寧,錦西,東京大學,復員計畫研究組
N01693,鄒延年,廣東,大埔,東京大學,關務署
N00861,鄧鴻藩,雲南,鹽津,東京大學,內政部第四組
N02943,鄭達生,江西,高安,東京大學,經濟部
N06684,陳大齊,浙江,海鹽,東京大學,法規委員會
N06684,陳大齊,浙江,海鹽,東京大學,考選委員會
N04459,魯昌文,湖北,鄂城,東京大學,輔導重慶南岸合作農場
N04710,黃懋仁,江西,萍鄉,東京大學,勞動局
N04120,龔學遂,江西,金溪,東京大學,公路總局
N07330,楊劭清,江蘇,鹽城,東京專修大學,陝甘區巡迴審計室
N00348,馮百平,河南,商城,東京專修大學,國民政府政務官懲戒委員會秘書處
N00348,馮百平,河南,商城,東京專修大學,貨物評價委員會
N01264,吳玉良,河北,天津,東京工業大學,機要室
N02585,周獻琛,江西,進賢,東京工業大學,總務司
N02948,熊傅飛,江蘇,江寧,東京工業專門學校,經濟部
N05541,丁衍鏞,廣東,茂名,東京美術專科學校,秘書處
N05496,陳樹人,廣東,番禺,東京美術專科學校,公債司核銷債券處公債籌募委員會
N05496,陳樹人,廣東,番禺,東京美術專科學校,南洋研究所
N05496,陳樹人,廣東,番禺,東京美術專科學校,囘國僑民事業輔導委員會
N05242,王元增,江蘇,嘉定,東京警監學校,監獄司
N04319,張遠峯,廣東,開平,東京農業大學,農事司
N04500,杜竹銘,山東,即墨,東京農業大學,甘肅河西屯墾實驗管理局
N03079,顏澤韞,廣東,連平,東京農業大學,商業司
N07311,安維泰,陝西,耀縣,東京高等工業學校,駐西北各鐵路局
N07126,汪康培,安徽,婺源,東京高等工業學校,審計部
N05140,程懋型,江西,新建,東京高等工業學校,四川民食第二供應處
N03331,陳宗英,福建,閩侯,東京高等工業學校,督學堂
N07208,陳祚蔭,陝西,山陽,東京高等工業學校,審計部第三廳
N00367,劉次簫,山東,安邱,東京高等師范學校,總辦事處
N03431,張邦華,浙江,海寧,東京高等師范學校,統計室
N06901,許壽裳,浙江,紹興,東京高等師范學校,考選委員會
N03659,陳綬蓀,湖南,澧縣,東京高等師范學校,總務司
N00508,陶孟和,河北,天津,東京高等師范學校,國立中央研究院評議會
N00508,陶孟和,河北,天津,東京高等師范學校,社會科學研究所
N03765a,張毓驊a,江蘇,太倉,東京高等蠶絲學校,農事司
N07238,吳紹鑑,廣東,廉江,東北大學,總務處
N00544,蘇步青,浙江,平陽,東北大學,數學研究所籌備處
N00545,陳建功,浙江,紹興,東北大學,數學研究所籌備處
N01726,馬雲亭,山東,泰安,東北大學,稅務署
N00017,熊克武,四川,井研,東斌學校,國民政府委員會
N06107,黃一歐,湖南,長沙,東斌學校,立法院
N05345,黃元鼎,安徽,桐城,東洋大學,安徽高等法院
N02949,傅銘九,浙江,東陽,桐生高等工業學校,經濟部
N05427,任翿和,湖北,武昌,法政大學,總務處
N04944,何孝純,福建,閩侯,法政大學,管制司
N06391,何超,福建,閩侯,法政大學,統計處
N00666,吳子雋,湖南,湘潭,法政大學,行政院
N06644,吳浴文,安徽,桐城,法政大學,法規委員會
N06644,吳浴文,安徽,桐城,法政大學,考試院
N00005,居正,湖北,廣濟,法政大學,司法院
N00005,居正,湖北,廣濟,法政大學,國民政府委員會
N00973,張瑞光,雲南,文山,法政大學,內政部營建司
N06580,張知本,湖北,江陵,法政大學,行政法院
N06989,曾道,四川,金堂,法政大學,監察院
N07257,李佩珠,廣東,番禺,法政大學,人事室
N00020,李文範,廣東,南海,法政大學,國民政府委員會
N00020,李文範,廣東,南海,法政大學,國民政府政務官懲戒委員會
N06431,李昀,廣西,蒼梧,法政大學,民事第四庭
N05606,林嘯谷,安徽,至德,法政大學,振濟委員會
N06418,林祖繩,福建,閩侯,法政大學,民事第一庭
N00157,沈維鏗,福建,閩侯,法政大學,國民政府參軍處
N02996,湯建中,浙江,紹興,法政大學,商業司
N06160,王培仁,安徽,六安,法政大學,立法院
N06364,王齡希,湖北,黃岡,法政大學,參事處
N06364,王齡希,湖北,黃岡,法政大學,編譯處
N06553,翁敬棠,福建,閩侯,法政大學,浙贛閩分庭
N06098,蔡瑄,福建,莆田,法政大學,立法院
N07167,薛壤三,廣東,新會,法政大學,審計部第二廳
N02140,薛登道,山西,達五,法政大學,鹽政司
N03668,許溯伊,江蘇,無錫,法政大學,交通部第一組
N06434,諸葛魯,浙江,蘭溪,法政大學,民事第四庭
N06554,郭秀如,福建,閩侯,法政大學,浙贛閩分庭
N01657,鄭文烈,山東,荷澤,法政大學,直接稅署
N05335,陳長簇,湖南,平江,法政大學,湖南高等法院
N06609,陶冶公,浙江,紹興,法政大學,中央公務員懲戒委員會
N06141,陸亞夫,雲南,鲁甸,法政大學,立法院
N06646,饒炎,四川,成都,法政大學,法規委員會
N06646,饒炎,四川,成都,法政大學,考試院
N05595,馬文車,浙江,東陽,法政大學,振濟委員會
N06090,黃右昌,湖南,臨澧,法政大學,自治法委員會
N05479,鮑軻,河北,完縣,法文學部,人事室
N00121,呂超,四川,宜賓,浩然廬軍事研究所,國民政府參軍處
N02827,沈鴻烈,湖北,天門,海軍學校,公債司核銷債券處公債籌募委員會
N02827,沈鴻烈,湖北,天門,海軍學校,行政院水利委員會
N02827,沈鴻烈,湖北,天門,海軍學校,農林部
N04506,曾廣欽,河南,經扶,海軍水電學校,河南伏牛山墾區管理局
N01869,宋式善,湖南,長沙,海軍炮術水雷專校,緝私署
N04506,曾廣欽,河南,經扶,海軍炮術水雷專校,河南伏牛山墾區管理局
N04506,曾廣欽,河南,經扶,海軍航海学校,河南伏牛山墾區管理局
N01982,薛溱舲,江蘇,無錫,研數學館,錢幣司
N06710,譚翼珪,江蘇,松江,神州法政專門學校,法規委員會
N06710,譚翼珪,江蘇,松江,神州法政專門學校,獎卹司
N05729,楊志春,浙江,奉化,福岡工業專門學校,行政院水利委員會
N01996,姚寶賢,江蘇,江寧,立教大學,錢幣司
N05496,陳樹人,廣東,番禺,立教大學,公債司核銷債券處公債籌募委員會
N05496,陳樹人,廣東,番禺,立教大學,南洋研究所
N05496,陳樹人,廣東,番禺,立教大學,囘國僑民事業輔導委員會
N01716,陳燦章,廣東,台山,立教大學,稅務署
N03061,李文斌,江蘇,南京,經濟講習會通訊講習,商業司
N01027,李士珍,浙江,甯海,警官高等學校,中央警官學校
N06609,陶冶公,浙江,紹興,長崎醫科大學,中央公務員懲戒委員會
N02882,曹樹藩,江西,新建,長崎高等商業學校,貿易委員會
N00681,陳陛章,河北,安新,陸地測量學校,總務組出納科
N06740,吳思豫,浙江,嘉興,陸軍士官學校,法規委員會
N05555,周演明,廣東,順德,陸軍士官學校,僑務管理處
N02816,孔庚,湖北,浠水,陸軍士官學校,公債司核銷債券處公債籌募委員會
N05711,張群,四川,華陽,陸軍士官學校,行政院水利委員會
N07108,李根源,雲南,騰衝,陸軍士官學校,雲南貴州監察區
N00019,李烈鈞,江西,武甯,陸軍士官學校,國民政府委員會
N00131,王烈,雲南,祥雲,陸軍士官學校,國民政府參軍處
N00131,王烈,雲南,祥雲,陸軍士官學校,訓育委員會
N00014,閻錫山,山西,五台,陸軍士官學校,國民政府委員會
N00179,陳其采,浙江,吳興,陸軍士官學校,公債司核銷債券處公債籌募委員會
N00179,陳其采,浙江,吳興,陸軍士官學校,國民政府主計處
N06142,馬曉軍,廣西,容縣,陸軍士官學校,立法院
N00163,屠景曾,浙江,嘉興,體育會體操學校,國民政府參軍處
N04509,雷男,湖南,永順,鹿兒島高等農業學校,貴州省推廣繁殖站
N04472,黃希周,江蘇,溧陽,鹿兒島高等農業學校,青衣江流域國有林區管理處
